Estimador,Datos,Accuracy_score,recall_score_1,recall_score_2,f1_score_1,f1_score_2,precision_score_1,precision_score_2
StackingClassifier,Entrenamiento,0.8314606741573034,1.0,0.2857142857142857,0.9006622516556291,0.4444444444444445,0.8192771084337349,1.0
StackingClassifier,Prueba,0.75,1.0,0.0,0.8571428571428571,0.0,0.75,0.0
StackingClassifier,Entrenamiento,0.848314606741573,1.0,0.35714285714285715,0.9096989966555183,0.5263157894736842,0.8343558282208589,1.0
StackingClassifier,Prueba,0.8,1.0,0.2,0.8823529411764706,0.33333333333333337,0.7894736842105263,1.0
StackingClassifier,Entrenamiento,0.7640449438202247,1.0,0.0,0.8662420382165604,0.0,0.7640449438202247,0.0
StackingClassifier,Prueba,0.75,1.0,0.0,0.8571428571428571,0.0,0.75,0.0
StackingClassifier,Entrenamiento,0.797752808988764,1.0,0.14285714285714285,0.8831168831168831,0.25,0.7906976744186046,1.0
StackingClassifier,Prueba,0.75,1.0,0.0,0.8571428571428571,0.0,0.75,0.0
StackingClassifier,Entrenamiento,0.8146067415730337,1.0,0.21428571428571427,0.8918032786885245,0.35294117647058826,0.8047337278106509,1.0
StackingClassifier,Prueba,0.8,1.0,0.2,0.8823529411764706,0.33333333333333337,0.7894736842105263,1.0
StackingClassifier,Entrenamiento,0.8370786516853933,1.0,0.30952380952380953,0.9036544850498339,0.4727272727272727,0.8242424242424242,1.0
StackingClassifier,Prueba,0.75,1.0,0.0,0.8571428571428571,0.0,0.75,0.0
StackingClassifier,Entrenamiento,0.797752808988764,1.0,0.14285714285714285,0.8831168831168831,0.25,0.7906976744186046,1.0
StackingClassifier,Prueba,0.85,1.0,0.4,0.9090909090909091,0.5714285714285715,0.8333333333333334,1.0
StackingClassifier,Entrenamiento,0.848314606741573,1.0,0.35714285714285715,0.9096989966555183,0.5263157894736842,0.8343558282208589,1.0
StackingClassifier,Prueba,0.8,1.0,0.2,0.8823529411764706,0.33333333333333337,0.7894736842105263,1.0
StackingClassifier,Entrenamiento,0.7640449438202247,1.0,0.0,0.8662420382165604,0.0,0.7640449438202247,0.0
StackingClassifier,Prueba,0.75,1.0,0.0,0.8571428571428571,0.0,0.75,0.0
StackingClassifier,Entrenamiento,0.8202247191011236,1.0,0.23809523809523808,0.8947368421052632,0.3846153846153846,0.8095238095238095,1.0
StackingClassifier,Prueba,0.7,0.9333333333333333,0.0,0.8235294117647058,0.0,0.7368421052631579,0.0
votingClassifier,Entrenamiento,0.898876404494382,1.0,0.5714285714285714,0.9379310344827586,0.7272727272727273,0.8831168831168831,1.0
votingClassifier,Prueba,0.75,1.0,0.0,0.8571428571428571,0.0,0.75,0.0
