Estimador,Datos,Accuracy_score,recall_score_1,recall_score_2,f1_score_1,f1_score_2,precision_score_1,precision_score_2
Heterogeneo,Entrenamiento,0.8618181818181818,0.9851485148514851,0.5205479452054794,0.9128440366972477,0.6666666666666666,0.8504273504273504,0.926829268292683
Heterogeneo,Prueba,0.6451612903225806,0.8695652173913043,0.0,0.7843137254901961,0.0,0.7142857142857143,0.0
Heterogeneo,Entrenamiento,0.8327272727272728,0.9851485148514851,0.410958904109589,0.8963963963963965,0.5660377358490566,0.8223140495867769,0.9090909090909091
Heterogeneo,Prueba,0.7741935483870968,1.0,0.125,0.8679245283018869,0.2222222222222222,0.7666666666666667,1.0
Heterogeneo,Entrenamiento,0.88,0.995049504950495,0.5616438356164384,0.9241379310344828,0.7130434782608696,0.8626609442060086,0.9761904761904762
Heterogeneo,Prueba,0.7419354838709677,1.0,0.0,0.8518518518518519,0.0,0.7419354838709677,0.0
Heterogeneo,Entrenamiento,0.8327272727272728,1.0,0.3698630136986301,0.8977777777777779,0.54,0.8145161290322581,1.0
Heterogeneo,Prueba,0.7096774193548387,0.9565217391304348,0.0,0.8301886792452831,0.0,0.7333333333333333,0.0
Heterogeneo,Entrenamiento,0.8436363636363636,0.9752475247524752,0.4794520547945205,0.9016018306636155,0.6194690265486725,0.8382978723404255,0.875
Heterogeneo,Prueba,0.8064516129032258,1.0,0.25,0.8846153846153846,0.4,0.7931034482758621,1.0
Heterogeneo,Entrenamiento,0.8472727272727273,0.9900990099009901,0.4520547945205479,0.9049773755656108,0.611111111111111,0.8333333333333334,0.9428571428571428
Heterogeneo,Prueba,0.7741935483870968,1.0,0.125,0.8679245283018869,0.2222222222222222,0.7666666666666667,1.0
Heterogeneo,Entrenamiento,0.8436363636363636,0.9851485148514851,0.4520547945205479,0.9024943310657597,0.6055045871559632,0.8326359832635983,0.9166666666666666
Heterogeneo,Prueba,0.8064516129032258,1.0,0.25,0.8846153846153846,0.4,0.7931034482758621,1.0
Heterogeneo,Entrenamiento,0.8545454545454545,0.9851485148514851,0.4931506849315068,0.9086757990867579,0.6428571428571428,0.8432203389830508,0.9230769230769231
Heterogeneo,Prueba,0.7419354838709677,0.9130434782608695,0.25,0.84,0.3333333333333333,0.7777777777777778,0.5
Heterogeneo,Entrenamiento,0.8545454545454545,0.9900990099009901,0.4794520547945205,0.9090909090909091,0.6363636363636364,0.8403361344537815,0.9459459459459459
Heterogeneo,Prueba,0.7419354838709677,0.8695652173913043,0.375,0.8333333333333333,0.42857142857142855,0.8,0.5
Heterogeneo,Entrenamiento,0.850909090909091,0.995049504950495,0.4520547945205479,0.90744920993228,0.616822429906542,0.8340248962655602,0.9705882352941176
Heterogeneo,Prueba,0.8064516129032258,1.0,0.25,0.8846153846153846,0.4,0.7931034482758621,1.0
Bagging,Entrenamiento,0.8618181818181818,0.9603960396039604,0.589041095890411,0.9107981220657276,0.6935483870967742,0.8660714285714286,0.8431372549019608
Bagging,Prueba,0.6129032258064516,0.782608695652174,0.125,0.7499999999999999,0.14285714285714288,0.72,0.16666666666666666
Bagging,Entrenamiento,0.8545454545454545,0.9603960396039604,0.5616438356164384,0.9065420560747663,0.6721311475409836,0.8584070796460177,0.8367346938775511
Bagging,Prueba,0.6774193548387096,0.8260869565217391,0.25,0.7916666666666667,0.28571428571428575,0.76,0.3333333333333333
Bagging,Entrenamiento,0.8763636363636363,0.9603960396039604,0.6438356164383562,0.919431279620853,0.7343750000000001,0.8818181818181818,0.8545454545454545
Bagging,Prueba,0.7741935483870968,1.0,0.125,0.8679245283018869,0.2222222222222222,0.7666666666666667,1.0
Bagging,Entrenamiento,0.8763636363636363,0.9702970297029703,0.6164383561643836,0.92018779342723,0.7258064516129031,0.875,0.8823529411764706
Bagging,Prueba,0.6451612903225806,0.8260869565217391,0.125,0.7755102040816326,0.15384615384615385,0.7307692307692307,0.2
Bagging,Entrenamiento,0.850909090909091,0.9356435643564357,0.6164383561643836,0.9021479713603819,0.6870229007633589,0.8709677419354839,0.7758620689655172
