Estimador,Datos,Accuracy_score,recall_score_1,recall_score_2,f1_score_1,f1_score_2,precision_score_1,precision_score_2
StackingClassifier,Entrenamiento,0.9972222222222222,1.0,0.9955555555555555,0.996309963099631,0.9977728285077951,0.9926470588235294,1.0
StackingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Entrenamiento,0.9972222222222222,1.0,0.9955555555555555,0.996309963099631,0.9977728285077951,0.9926470588235294,1.0
StackingClassifier,Prueba,0.975,1.0,0.96,0.967741935483871,0.9795918367346939,0.9375,1.0
StackingClassifier,Entrenamiento,0.9972222222222222,1.0,0.9955555555555555,0.996309963099631,0.9977728285077951,0.9926470588235294,1.0
StackingClassifier,Prueba,0.975,1.0,0.96,0.967741935483871,0.9795918367346939,0.9375,1.0
StackingClassifier,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
StackingClassifier,Entrenamiento,0.9972222222222222,1.0,0.9955555555555555,0.996309963099631,0.9977728285077951,0.9926470588235294,1.0
StackingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
votingClassifier,Entrenamiento,0.9972222222222222,1.0,0.9955555555555555,0.996309963099631,0.9977728285077951,0.9926470588235294,1.0
votingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
votingClassifier,Entrenamiento,0.9972222222222222,1.0,0.9955555555555555,0.996309963099631,0.9977728285077951,0.9926470588235294,1.0
votingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
votingClassifier,Entrenamiento,0.9972222222222222,1.0,0.9955555555555555,0.996309963099631,0.9977728285077951,0.9926470588235294,1.0
votingClassifier,Prueba,1.0,1.0,1.0,1.0,1.0,1.0,1.0
