Estimador,Datos,Accuracy_score,recall_score_1,recall_score_2,f1_score_1,f1_score_2,precision_score_1,precision_score_2
StackingClassifier,Entrenamiento,0.8741935483870967,0.7615384615384615,0.9555555555555556,0.8354430379746836,0.8981723237597912,0.9252336448598131,0.8472906403940886
StackingClassifier,Prueba,0.7142857142857143,0.6,0.8,0.6428571428571429,0.761904761904762,0.6923076923076923,0.7272727272727273
StackingClassifier,Entrenamiento,0.8806451612903226,0.7692307692307693,0.9611111111111111,0.8438818565400844,0.9033942558746736,0.9345794392523364,0.8522167487684729
StackingClassifier,Prueba,0.6,0.26666666666666666,0.85,0.36363636363636365,0.7083333333333333,0.5714285714285714,0.6071428571428571
StackingClassifier,Entrenamiento,0.9193548387096774,0.8307692307692308,0.9833333333333333,0.8962655601659751,0.9340369393139842,0.972972972972973,0.8894472361809045
StackingClassifier,Prueba,0.7142857142857143,0.5333333333333333,0.85,0.6153846153846153,0.7727272727272727,0.7272727272727273,0.7083333333333334
StackingClassifier,Entrenamiento,0.9483870967741935,0.8923076923076924,0.9888888888888889,0.9354838709677421,0.9569892473118279,0.9830508474576272,0.9270833333333334
StackingClassifier,Prueba,0.5428571428571428,0.4,0.65,0.42857142857142855,0.6190476190476191,0.46153846153846156,0.5909090909090909
StackingClassifier,Entrenamiento,0.9516129032258065,0.8923076923076924,0.9944444444444445,0.9392712550607288,0.9597855227882037,0.9914529914529915,0.927461139896373
StackingClassifier,Prueba,0.7714285714285715,0.6,0.9,0.6923076923076923,0.8181818181818182,0.8181818181818182,0.75
StackingClassifier,Entrenamiento,0.7967741935483871,0.6076923076923076,0.9333333333333333,0.7149321266968325,0.8421052631578947,0.8681318681318682,0.7671232876712328
StackingClassifier,Prueba,0.7428571428571429,0.4666666666666667,0.95,0.608695652173913,0.8085106382978724,0.875,0.7037037037037037
StackingClassifier,Entrenamiento,0.896774193548387,0.8,0.9666666666666667,0.8666666666666666,0.9157894736842105,0.9454545454545454,0.87
