Estimador,Datos,Accuracy_score,recall_score_1,recall_score_2,f1_score_1,f1_score_2,precision_score_1,precision_score_2
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.7102272727272727,0.3953488372093023,0.8120300751879699,0.4,0.8089887640449439,0.40476190476190477,0.8059701492537313
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.8465909090909091,0.5581395348837209,0.9398496240601504,0.6399999999999999,0.9025270758122743,0.75,0.8680555555555556
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.7613636363636364,0.3488372093023256,0.8947368421052632,0.41666666666666663,0.8500000000000001,0.5172413793103449,0.8095238095238095
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.7784090909090909,0.7209302325581395,0.7969924812030075,0.6138613861386139,0.8446215139442231,0.5344827586206896,0.8983050847457628
Heterogeneo,Entrenamiento,0.9473684210526315,1.0,0.9285714285714286,0.9090909090909091,0.962962962962963,0.8333333333333334,1.0
Heterogeneo,Prueba,0.8409090909090909,0.7209302325581395,0.8796992481203008,0.6888888888888888,0.8931297709923665,0.6595744680851063,0.9069767441860465
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.8068181818181818,0.5116279069767442,0.9022556390977443,0.5641025641025641,0.8759124087591241,0.6285714285714286,0.851063829787234
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.8238636363636364,0.7674418604651163,0.8421052631578947,0.6804123711340206,0.8784313725490196,0.6111111111111112,0.9180327868852459
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.8011363636363636,0.7906976744186046,0.8045112781954887,0.6601941747572816,0.8594377510040161,0.5666666666666667,0.9224137931034483
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.8011363636363636,0.6744186046511628,0.8421052631578947,0.6236559139784946,0.8648648648648649,0.58,0.8888888888888888
Heterogeneo,Entrenamiento,0.9473684210526315,1.0,0.9285714285714286,0.9090909090909091,0.962962962962963,0.8333333333333334,1.0
