Estimador,Datos,Accuracy_score,recall_score_1,recall_score_2,f1_score_1,f1_score_2,precision_score_1,precision_score_2
Heterogeneo,Entrenamiento,0.9629629629629629,1.0,0.9166666666666666,0.967741935483871,0.9565217391304348,0.9375,1.0
Heterogeneo,Prueba,0.6419753086419753,0.9259259259259259,0.28703703703703703,0.741839762611276,0.4161073825503356,0.6188118811881188,0.7560975609756098
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.6707818930041153,0.9259259259259259,0.35185185185185186,0.7575757575757577,0.48717948717948717,0.6410256410256411,0.7916666666666666
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.6337448559670782,0.9037037037037037,0.2962962962962963,0.7327327327327327,0.4183006535947712,0.6161616161616161,0.7111111111111111
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.6625514403292181,0.9777777777777777,0.26851851851851855,0.7630057803468208,0.4142857142857143,0.6255924170616114,0.90625
Heterogeneo,Entrenamiento,0.9629629629629629,1.0,0.9166666666666666,0.967741935483871,0.9565217391304348,0.9375,1.0
Heterogeneo,Prueba,0.6707818930041153,0.9555555555555556,0.3148148148148148,0.7633136094674556,0.4594594594594595,0.6354679802955665,0.85
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.7160493827160493,0.9407407407407408,0.4351851851851852,0.7863777089783281,0.5766871165644172,0.675531914893617,0.8545454545454545
Heterogeneo,Entrenamiento,0.9259259259259259,1.0,0.8333333333333334,0.9375,0.9090909090909091,0.8823529411764706,1.0
Heterogeneo,Prueba,0.6707818930041153,0.9703703703703703,0.2962962962962963,0.7660818713450291,0.4444444444444444,0.6328502415458938,0.8888888888888888
Heterogeneo,Entrenamiento,0.9259259259259259,1.0,0.8333333333333334,0.9375,0.9090909090909091,0.8823529411764706,1.0
Heterogeneo,Prueba,0.6584362139917695,0.8888888888888888,0.37037037037037035,0.7430340557275542,0.4907975460122699,0.6382978723404256,0.7272727272727273
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.6954732510288066,0.9407407407407408,0.3888888888888889,0.7743902439024389,0.5316455696202531,0.6580310880829016,0.84
Heterogeneo,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Heterogeneo,Prueba,0.7325102880658436,0.9703703703703703,0.4351851851851852,0.8012232415902141,0.5911949685534591,0.6822916666666666,0.9215686274509803
Bagging,Entrenamiento,0.7777777777777778,0.8,0.75,0.8000000000000002,0.75,0.8,0.75
Bagging,Prueba,0.6172839506172839,0.6666666666666666,0.5555555555555556,0.6593406593406593,0.5633802816901409,0.6521739130434783,0.5714285714285714
Bagging,Entrenamiento,0.7407407407407407,0.8666666666666667,0.5833333333333334,0.7878787878787877,0.6666666666666666,0.7222222222222222,0.7777777777777778
Bagging,Prueba,0.5596707818930041,0.6444444444444445,0.4537037037037037,0.6192170818505338,0.4780487804878049,0.5958904109589042,0.5051546391752577
Bagging,Entrenamiento,0.8148148148148148,0.8,0.8333333333333334,0.8275862068965518,0.8,0.8571428571428571,0.7692307692307693
Bagging,Prueba,0.5843621399176955,0.7851851851851852,0.3333333333333333,0.6773162939297126,0.41618497109826597,0.5955056179775281,0.5538461538461539
Bagging,Entrenamiento,0.8148148148148148,0.9333333333333333,0.6666666666666666,0.8484848484848485,0.761904761904762,0.7777777777777778,0.8888888888888888
Bagging,Prueba,0.5967078189300411,0.5925925925925926,0.6018518518518519,0.6201550387596899,0.5701754385964911,0.6504065040650406,0.5416666666666666
Bagging,Entrenamiento,0.8518518518518519,0.8,0.9166666666666666,0.8571428571428571,0.8461538461538461,0.9230769230769231,0.7857142857142857
Bagging,Prueba,0.6378600823045267,0.6444444444444445,0.6296296296296297,0.6641221374045801,0.6071428571428571,0.6850393700787402,0.5862068965517241
Bagging,Entrenamiento,0.8888888888888888,0.9333333333333333,0.8333333333333334,0.9032258064516129,0.8695652173913043,0.875,0.9090909090909091
Bagging,Prueba,0.6213991769547325,0.6074074074074074,0.6388888888888888,0.640625,0.5999999999999999,0.6776859504132231,0.5655737704918032
Bagging,Entrenamiento,0.6666666666666666,0.8666666666666667,0.4166666666666667,0.7428571428571429,0.5263157894736842,0.65,0.7142857142857143
Bagging,Prueba,0.6255144032921811,0.7851851851851852,0.42592592592592593,0.6996699669966997,0.5027322404371585,0.6309523809523809,0.6133333333333333
Bagging,Entrenamiento,0.8148148148148148,0.8666666666666667,0.75,0.8387096774193549,0.7826086956521738,0.8125,0.8181818181818182
Bagging,Prueba,0.5555555555555556,0.4666666666666667,0.6666666666666666,0.5384615384615385,0.5714285714285715,0.6363636363636364,0.5
Bagging,Entrenamiento,0.8148148148148148,0.8666666666666667,0.75,0.8387096774193549,0.7826086956521738,0.8125,0.8181818181818182
Bagging,Prueba,0.6131687242798354,0.6074074074074074,0.6203703703703703,0.6356589147286821,0.587719298245614,0.6666666666666666,0.5583333333333333
Bagging,Entrenamiento,0.9259259259259259,0.9333333333333333,0.9166666666666666,0.9333333333333333,0.9166666666666666,0.9333333333333333,0.9166666666666666
Bagging,Prueba,0.6584362139917695,0.725925925925926,0.5740740740740741,0.7025089605734767,0.5990338164251209,0.6805555555555556,0.6262626262626263
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.6707818930041153,0.6222222222222222,0.7314814814814815,0.6774193548387097,0.6638655462184874,0.7433628318584071,0.6076923076923076
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.7407407407407407,0.7037037037037037,0.7870370370370371,0.7509881422924901,0.7296137339055794,0.8050847457627118,0.68
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.6790123456790124,0.6888888888888889,0.6666666666666666,0.7045454545454545,0.6486486486486486,0.7209302325581395,0.631578947368421
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.7818930041152263,0.8962962962962963,0.6388888888888888,0.8203389830508475,0.7225130890052355,0.75625,0.8313253012048193
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.7283950617283951,0.9037037037037037,0.5092592592592593,0.7870967741935484,0.625,0.6971428571428572,0.8088235294117647
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.7860082304526749,0.8740740740740741,0.6759259259259259,0.8194444444444444,0.7373737373737375,0.7712418300653595,0.8111111111111111
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.7613168724279835,0.8,0.7129629629629629,0.7883211678832117,0.7264150943396226,0.7769784172661871,0.7403846153846154
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.6172839506172839,0.5333333333333333,0.7222222222222222,0.6075949367088608,0.6265060240963856,0.7058823529411765,0.5531914893617021
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.7407407407407407,0.7111111111111111,0.7777777777777778,0.7529411764705882,0.7272727272727273,0.8,0.6829268292682927
AdaBoost,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,Prueba,0.6707818930041153,0.7037037037037037,0.6296296296296297,0.7037037037037037,0.6296296296296297,0.7037037037037037,0.6296296296296297
RandomForest,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,Prueba,0.7695473251028807,0.8074074074074075,0.7222222222222222,0.7956204379562045,0.7358490566037735,0.7841726618705036,0.75
RandomForest,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,Prueba,0.8106995884773662,0.8148148148148148,0.8055555555555556,0.8270676691729323,0.790909090909091,0.8396946564885496,0.7767857142857143
RandomForest,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,Prueba,0.7530864197530864,0.7851851851851852,0.7129629629629629,0.7794117647058822,0.7196261682242991,0.7737226277372263,0.7264150943396226
RandomForest,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,Prueba,0.7818930041152263,0.9481481481481482,0.5740740740740741,0.8284789644012945,0.7005649717514124,0.735632183908046,0.8985507246376812
RandomForest,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,Prueba,0.8148148148148148,0.9037037037037037,0.7037037037037037,0.8442906574394463,0.7715736040609137,0.7922077922077922,0.8539325842696629
RandomForest,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,Prueba,0.7983539094650206,0.8666666666666667,0.7129629629629629,0.8268551236749117,0.7586206896551724,0.7905405405405406,0.8105263157894737
RandomForest,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,Prueba,0.8106995884773662,0.9259259259259259,0.6666666666666666,0.8445945945945945,0.7578947368421053,0.7763975155279503,0.8780487804878049
RandomForest,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,Prueba,0.7613168724279835,0.7851851851851852,0.7314814814814815,0.7851851851851852,0.7314814814814816,0.7851851851851852,0.7314814814814815
RandomForest,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,Prueba,0.7942386831275721,0.8444444444444444,0.7314814814814815,0.8201438848920863,0.7596153846153846,0.7972027972027972,0.79
RandomForest,Entrenamiento,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,Prueba,0.7818930041152263,0.9037037037037037,0.6296296296296297,0.8215488215488215,0.7195767195767196,0.7530864197530864,0.8395061728395061
